id,min,max,pitch,accuracy_3,accuracy_4,accuracy_5,accuracy_6,accuracy_7,accuracy_8,accuracy_9,accuracy_10
1,1,1.4,0.2,24,30,38,48,60,75,,
2,1,1.4,0.25,26,34,42,53,67,85,,
3,1,1.4,0.3,28,36,45,56,71,90,,
4,1.4,2.8,0.2,25,32,40,50,63,80,,
5,1.4,2.8,0.25,28,36,45,56,71,90,,
6,1.4,2.8,0.35,32,40,50,63,80,100,,
7,1.4,2.8,0.4,34,42,53,67,85,106,,
8,1.4,2.8,0.45,36,45,56,71,90,112,,
9,2.8,5.6,0.25,28,36,45,56,71,,,
10,2.8,5.6,0.35,34,42,53,67,85,106,,
11,2.8,5.6,0.5,38,48,60,75,95,118,,
12,2.8,5.6,0.6,42,53,67,85,106,132,,
13,2.8,5.6,0.7,45,56,71,90,112,140,,
14,2.8,5.6,0.75,45,56,71,90,112,140,,
15,2.8,5.6,0.8,48,60,75,95,118,150,190,236
16,5.6,11.2,0.25,32,40,50,63,80,,,
17,5.6,11.2,0.35,36,45,56,71,90,,,
18,5.6,11.2,0.5,42,53,67,85,106,132,,
19,5.6,11.2,0.75,50,63,80,100,125,160,,
20,5.6,11.2,1,56,71,90,112,140,180,224,280
21,5.6,11.2,1.25,60,75,95,118,150,190,236,300
22,5.6,11.2,1.5,67,85,106,132,170,212,265,335
23,11.2,22.4,0.35,38,48,60,75,95,,,
24,11.2,22.4,0.5,45,56,71,90,112,140,,
25,11.2,22.4,0.75,53,67,85,106,132,170,,
26,11.2,22.4,1,60,75,95,118,150,190,236,300
27,11.2,22.4,1.25,67,85,106,132,170,212,265,335
28,11.2,22.4,1.5,71,90,112,140,180,224,280,355
29,11.2,22.4,1.75,75,95,118,150,190,236,300,375
30,11.2,22.4,2,80,100,125,160,200,250,315,400
31,11.2,22.4,2.5,85,106,132,170,212,265,335,425
32,22.4,45,0.5,48,60,75,95,118,,,
33,22.4,45,0.75,56,71,90,112,140,180,,
34,22.4,45,1,63,80,100,125,160,200,250,315
35,22.4,45,1.5,75,95,118,150,190,236,300,375
36,22.4,45,2,85,106,132,170,212,265,335,425
37,22.4,45,3,100,125,160,200,250,315,400,500
38,22.4,45,3.5,106,132,170,212,265,335,425,530
39,22.4,45,4,112,140,180,224,280,355,450,560
40,22.4,45,4.5,118,150,190,236,300,375,475,600
41,45,90,0.5,50,63,80,100,125,,,
42,45,90,0.75,60,75,95,118,150,,,
43,45,90,1,71,90,112,140,180,224,280,355
44,45,90,1.5,80,100,125,160,200,250,315,400
45,45,90,2,90,112,140,180,224,280,355,450
46,45,90,3,106,132,170,212,265,335,425,530
47,45,90,4,118,150,190,236,300,375,475,600
48,45,90,5,125,160,200,250,315,400,500,630
49,45,90,5.5,132,170,212,265,335,425,530,670
50,45,90,6,140,180,224,280,355,450,560,710
51,90,180,0.75,63,80,100,125,160,,,
52,90,180,1,75,95,118,150,190,,,
53,90,180,1.5,85,106,132,170,212,265,335,425
54,90,180,2,95,118,150,190,236,300,375,475
55,90,180,3,112,140,180,224,280,355,450,560
56,90,180,4,125,160,200,250,315,400,500,630
57,90,180,6,150,190,236,300,375,475,600,750
58,90,180,8,170,212,265,335,425,530,670,850
59,180,355,1.5,90,112,140,180,224,280,355,
60,180,355,2,106,132,170,212,265,335,425,530
61,180,355,3,125,160,200,250,315,400,500,630
62,180,355,4,140,180,224,280,355,450,560,710
63,180,355,6,160,200,250,315,400,500,630,800
64,180,355,8,180,224,280,355,450,560,710,900
65,355,600,2,112,140,180,224,280,355,450,
66,355,600,4,150,190,236,300,375,475,600,750
67,355,600,6,170,212,265,335,425,530,670,850
68,355,600,8,190,236,300,375,475,600,750,950